Longitude,Latitude,Label
118.116667,5.833333,Pelabuhan Sandakan
173.766667,-35.058778,Whangaroa
125.5,9.783333,Surigao City
-2.961667,58.987111,Kirkwall
43.133333,11.6,Djibouti
1.233333,41.1,Tarragona
44.05,1.1,Baraawe
-1.95,50.683333,Poole Harbour
-68.35,44.233333,Bass Harbor
12.614861,65.977917,Sandnessjoen
35.316667,33.533333,Sidon/Zahrani Terminal
148.492917,-8.880056,Oro Bay
140.633333,36.5,Hitachi
-70.88575,42.526667,Salem
131.081167,42.639889,Zarubino
146.133333,-17.6,Mourilyan Harbour
33.615389,28.234944,El Tur Harbor
133.95,34.483333,Uno
8.284139,56.584139,Lemvig
121.45,37.55,Yantai
21.129222,55.703306,Klaipeda
35.001972,29.526667,Al Aqabah
-22.05,64.05,Straumsvik
50.633333,26.2,Mina Salman
22.65,65.9,Torehamn
31.459972,41.32875,Eregli
-97.05,28.016667,Rockport
1.168278,52.029583,Ipswich
-85.65,30.133333,Panama City
32.7,45.516667,Chornomors Ke
14.282472,53.923361,Swinoujscie
-44.216667,-23.05,Gebig
-0.543306,45.034583,Ambes
48.166667,29.016667,Mina Abd Allah
-67.533333,48.85,Matane
-71.405056,41.819389,Providence
123.635833,9.127861,Lazi
-46.050806,60.939194,Narsaq
-106.406687,23.197383,Mazatlan
-134.235056,56.607889,Bay Of Pillars
-25.000889,16.878722,Porto Grande
7.016667,43.55,Cannes
112.916667,-6.65,Poleng Oil Field
-84.518972,29.915028,Carrabelle
-123.716667,48.933333,Chemainus
123.854167,9.639583,Tagbilaran
9.859111,55.8525,Horsens
131.1,31.466667,Shibushi Wan
125.716667,11.033333,Guiuan
-166.949361,60.226,Nash Harbor
-134.633333,56.383333,Little Port Walter
-79.897556,9.366722,Puerto Colon
1.033333,51.366667,Whitstable
-17.436278,14.687472,Dakar
157.1,-8.116667,Ringgi Cove
-4.933333,50.55,Padstow
135.113778,33.958333,Yura
11.866667,54.766667,Nykobing (Falster)
-68.554083,44.266972,Brooklin
-89.662444,21.294861,Progreso
-68.759083,44.367694,Castine
13.763611,45.655861,Trieste
15.883333,43.733333,Sibenik
6.259972,58.338722,Rekefjord
37.25,19.583333,Al Khair Oil Terminal
17.35,62.483333,Vivstavarv
-0.15,39,Puerto De Gandia
139.715417,35.224972,Uraga Ko
9.565778,55.25,Haderslev
-9.783333,31.5,Essaouira
150.8,-35.116667,Jervis Bay
118.253694,4.691667,Mostyn
-0.087167,39.857472,Burriana
58.516667,23.633333,Mina Al Fahl
29.069583,41.119972,Istinye
140.953722,37.835806,Soma
139.781611,35.672889,Tokyo Ko
-77.938333,18.442917,Montego Bay
7.247833,53.32,Emden
-25.15,36.933333,Vila Do Porto
-5.785917,57.138333,Ornsay
-124.45,43.023611,Bandon
3.133333,39.833333,Puerto De Alcudia
-145.672583,60.631667,Shepard Point
11.277389,58.585833,Fjallbacka
-76.733333,8.083333,Turbo
55.466667,-21.35,Saint Pierre
-131.994028,53.219083,Alliford Bay
-2.6,59.133333,Whitehall
-4.624972,53.319583,Holyhead
-62.710778,45.666389,Pictou
-58.324194,-33.108833,Fray Bentos
28.328194,59.677833,Reka Luga
9.559139,55.707472,Vejle
117.170417,-0.952556,Senipah Oil Terminal
121.766611,25.157917,Chi Lung
32.554972,29.959556,As Suways
-60.79625,45.958333,Grand Narrows
1.416667,51.333333,Ramsgate
13.844889,55.41875,Ystad
122.233333,40.683333,Yingkou
-117.1,32.366667,Rosarito
-77.275833,20.242944,Ceiba Hueca
130.802528,33.892111,Wakamatsu
-27.208306,38.653722,Angra Do Heroismo
-123.133333,47.416667,Hoodsport
-10.066667,5.866667,Buchanan
-110.907861,27.894528,Guaymas
28.883333,40.383333,Mudanya
14.124917,66.307056,Mo Inlet
-122.30675,47.950389,Mukilteo
-3.516667,50.4,Brixham Harbour
33.283333,28.133333,Ras Shukhier
9.166667,53.883333,Brunsbuttel Elbahafen
-67.684139,-53.7825,Rio Grande
48.05,-22.116667,Manakara
-88.054167,30.657306,Mobile
35.80625,27.23,Duba Bulk Plant Tanker Terminal
-2.983333,58.95,Scapa Bay
-151.4,60.683333,Nikiski
22.016667,60.466667,Naantali
